headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
Tree 2	rejected			IEW 697, Neumann 1961, 77f., EDPC 369					OCo. glas-tannen, MBr. glastannenn ‘green oak’ has been connected to OS danna ‘pine’, OHG tanna ‘fir wood’. However, the initial consonants, PC *t- vs. PG *d- cannot be reconciled and the meanings ‘oak’ vs. ‘fir, pine’ are also dissimilar. A proposed PIE *(s)dʰ- giving PC *st followed by loss of *s- in Celtic is ad hoc, because there is no evidence of such an s-mobile. In the absence of such an s-mobile, the Hitt. hapax tanau- ‘some kind of tree’ may be related to either Celtic or Germanic, but not both. A connection with Skt. dhánuṣ- ‘bow’, YAv. ϑanuuarə, ϑanuuan- ‘bow’ is formally compatible with the Germanic reflexes, but not the Celtic. The only way to save the isogloss would be to divorce it from the proposed IE cognates, and assume a substrate origin.	page:51
Tribe	rejected			L259, IEW 503-504, EDPC 435, EDPG 9					OIr. icht ‘tribe, progeny’ appears similar to PG *aihti- ‘property, family’, but the Irish may be connected within Celtic with W iaith, MB yez ‘language’, which is in turn connected with the PIE root *iek- ‘to speak, utter’. The Germanic form, on the other hand, cannot be derived from this root.	page:51
Twig	rejected			IEW 412-413, EDPG 172					OIr. gat ‘withe, osier’, OIr. gas ‘sprig, shoot, twig’ allow for reconstruction of PC *gazdo-, *gasto-, which in turn looks similar toGo. gazds ‘sting, goad’, ON gaddr ‘goad, spike’ < PG *gazda-. However Lat. hasta ‘spear’ may also be connected.	page:51
Urine	rejected			L257					B staot ‘urine’ and MHG, MLG, MDu. stal ‘horse piss’, MHG, MLG, MDu. stallen ‘to piss (of horses)’ are clearly connected, but not as a Celto-Germanic isogloss. B staot < *stalt (with the regular change of *alt > aot) was likely borrowed from OFr. estal ‘urine’, even though the final t remains unexplained. This estal, in turn, was probably borrowed from Old Low Franconian *stall, for which see the aforementioned West Germanic forms. Ir. stalladh ‘warm or stale drink’ cannot be inherited because PC *st- regularly becomes s- in Goidelic.	page:51
Uterus	rejected			L256					OW gumbelauc ‘womb’ and B gwamm ‘woman’ (jocular) have been connected to PG *wambō- ‘womb, belly’. The OW appears to be a ghost word and the Breton word meant ‘(newly-)married woman; prostitute’ in Middle Breton, hence it provides a poor semantic match. Even if the Germanic and Breton words are related, the existence of Skt. gabhá- ‘vagina’ < *gʷʰmbʰ-o- shows that this lexeme is not specific to Celtic and Germanic.	page:51
Vessel	rejected			L249, IEW 351, H96, EDPG 280					PG *kannō ‘can, jug’ has been connected to MIr. gann ‘vessel, jug, pitcher’, but gann is only attested in glossaries and may well be a sideform of OIr. cann, canna ‘can, vessel’ < OE canne or Lat. panna.	page:51
Wagon	rejected			L254, IEW 1118-1120, Pr120, H72, Ko9, EDPG 565					A Celto-Germanic formation of the PIE root *ueǵʰ- ‘to move, carry, drive’ with *-no- in PC *uegno- (OIr. fén ‘wagon’) and PG *wagna- (ON vagn, OHG wagan ‘wagon’) has been proposed. However, ToA wkäṃ, ToB yakne ‘way, manner’ continue an identical formation, and a semantic isogloss may be rejected on the basis of e.g. Gr. ὄχος ‘carriage’. OIr. fén ‘wagon’ may moreover be from PC *ued-no, from PIE *uedʰ- ‘to lead’. This root is better attested in Celtic in e.g. OIr. feidid ‘brings, leads’. The oft-quoted W gwain is a ghost word back-formed from certwain ‘wagon’, an OE loanword.	page:51
Whirl	rejected			L254, IEW 1050-1051					W chwerfu ‘to whirl’ and chwerfan ‘whorl, pulley’ has been compared to PG *swerban- ‘to wipe, sweep, swerve’, but chwerfu appears to be a ghost word not found outside dictionaries, and chwerfan is borrowed from OE hweorfa, obl. -an m. ‘joint, whorl’.	page:51
Wild	rejected			IEW 1123-1142, H47					A uniquely shared root is proposed for PC *ueidu- ‘wild’ and PG *waiþa- ‘hunt’. However, the proto-forms to not match because of the different dentals. The Germanic word goes back to PIE *uoih1-to-, see PIE *ueih1- ‘to strive for’, cf. Skt. véti ‘turns toward, pursues’. The Celtic word is probably derived from *uidu- ‘wood’ (q.v.).	page:52
Wisdom	rejected			Irslinger 2002, 412ff., H15, EDPG 163					OIr. gáes ‘intelligence’ and PG *gaista- ‘supernatural spirit’ appear superficially similar, however the Irish may be synchronically derived from gáeth ‘intelligent’, cf. báes ‘folly’ < báeth ‘foolish’. This means that there is no guarantee that the Irish formation goes back far enough to warrant a Celto-Germanicism. Moreover, EDPG reconstructs pre-PG *ǵʰois-dofor *gaista-, cf. Av. zōižda- ‘terrible’, which would have yielded an unattested OIr. **gáet.	page:52
Withered	rejected			IEW 578, LEIA C-236-237, KPV 420-422, H24					PC *krīno- (OIr. crín ‘enfeebled, decrepit, withered’, W crin ‘withered, brittle’, B krin ‘dry, miserly’) and PG *hraiwa-(ON hræ, OE hrǣ(w), hrā(w), OFri. hrē- ‘corpse, remains’), have been argued to contain a Germano-Celtic extension of PIE *kerh2- ‘to break’ to *ḱr(e/o)iH-. However the Celtic most likely is from *ḱrih1-no-, derived from *ḱreh1(i)- ‘to shake’.	page:52
Wound 1	rejected			IEW 618, 933, EDPC 222, H60, EDPG 242					PC *kre(n)xtu- ‘wound, scar’ (MIr. crécht, W craith) has a cognate in Lith. krèkti ‘to coagulate’, so a uniquely CG connection with ON skrá ‘scroll’ or ON hrekja ‘to drive away, worry, damage’ would have to be based on a morphological or semantic similarity, which is not found.	page:52
Wound 2	rejected			IEW 559-563, H56, EDPG 236					PC *knidā ‘wound’ (OIr. cned ‘wound’), PG *hnītan- ‘to wound, poke, butt’ (cf. OIcel. hnīta ‘to butt’), both from PIE *ḱneid-, have been identified as containing a semantic isogloss with the meaning ‘wound’, as opposed to Gr. κνίζω ‘to scratch, tickle, provoke’. However the meaning ‘to gash’ is also found in Greek, and the range of meanings in Germanic is so broad that a chance resemblance with Celtic is likely.	page:52
