collation_priority	entry_id	pdf_page_start	entry_heading	fields_to_check	reason	ninth_pass_status	ninth_pass_action	corrected_heading	rendered_page_available	tenth_pass_status	tenth_pass_action	eleventh_pass_status	eleventh_pass_action
2-medium	1348	539	rixa	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1349	539	robur, -oris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1350	539	robus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1353	540	rogus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1352	540	rogō, -āre	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1355	541	rota	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1356	541	ruber, -bra, -brum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1357	541	rudis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	possible-missing-abbrev-period;space-laryngeal	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1358	542	rOdo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1360	542	ruga	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1362	543	-rflgo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1364	543	rumor	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1366	544	runcō, -āre	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1367	544	ruo, -ere 14to rush, hurry on; tumble down, collapse'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1371	545	riispor, -art	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1369	545	rōs, rōris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1372	546	sacer	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1373	546	sacerdos, -otis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1374	547	saeculum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1375	547	saep£s, -is	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1376	547	saeta	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1380	548	sSgus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1377	548	saevus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1381	549	sal, sails	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1384	550	salix, -icis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1386	551	salvus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1387	551	sanguis, -inis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1389	552	sSnus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1391	552	sapiō, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1392	553	sarcio, -Tire	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1394	554	sarp(i)o, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1395	554	satis, sat	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1396	554	saucius	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1398	555	scabo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1399	555	scaevus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1400	556	scalpo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1403	557	scapulae	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; bibliography field not detected	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1406	558	scelus, -eris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1407	558	scindo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1409	559	scio, scire	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1410	559	scipio	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1413	560	scortum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1417	561	scrōfa	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1422	562	scutum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1423	563	sS	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1424	563	s€-, se-, so-, so-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1428	565	sedeo 'to sit, be seated'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1430	566	sSgnis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period; PIE field may include explanatory prose	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1431	567	sem-, sim-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1432	567	semi-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1433	567	senex, senis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1434	568	sentīna	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1436	569	septem	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1437	569	sequor, sequi	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1438	570	serenus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1441	571	serō, -ere 2	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1442	572	serpu, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1443	572	serra	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1444	572	serum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1448	574	severus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1449	574	sex	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1453	575	sica	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1452	575	slbilus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1451	575	sī, sic 'if'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1457	577	sileo	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1460	578	similis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1461	579	simpu(v)ium	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1462	579	sine	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1465	580	sinister	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1466	580	sino, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1467	581	sinus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1469	582	sitis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1471	582	so-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1473	583	socer, -en	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1474	583	socius	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1475	584	sodalis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1476	584	sōl, sōlis 'sun'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1478	585	solidus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1479	585	solium	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1480	585	sollus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	bibliography field not detected	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1481	586	sollicitatio	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1486	587	somnus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1488	588	sons, sontis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1487	588	sonō, -āre	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1494	590	soror, -oris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1495	591	sors, -rtis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1500	592	specio, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1506	595	spissus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1508	595	spolium	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1509	596	sponda	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1512	597	spuma	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1513	597	spuō, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1517	598	(s)ta-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1518	599	stagnura	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1521	600	sterilis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1522	600	sterno, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
